branch,source,base,commit,status,endpoint,type,features,additions,deletions,old_path,path
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,1,1,,h5-v2/docs/guide/README.md
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,2,2,,h5-v2/public/configstatic/h5/control/control.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/appIcon-144.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/appIcon-58.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/appIcon-80.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/favicon.ico
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,A,h5-v2,构建配置,活动/红包/推广/下载、主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/ic_promotion_logo.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/ic_reg_logo.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/logo.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/logofx.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/mb-logo.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-1125.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-1242.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-640.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-640x2.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-750.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,1,1,,h5-v2/public/configstatic/h5/manifest.json
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,主题样式,主题/颜色/静态资源,84,84,,h5-v2/public/static/css/color.less
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/en_US.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/hi_IN.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/in_ID.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/it_IT.js
